sim,Rate,Rate_1,Rate_2,density,recip,jumpXTransTrip,se_density,se_recip,se_jumpXTransTrip,maxConv
385,2.43824573356576,2.45815518686992,2.23123866249421,-4.94603628242976,4.93668002900244,3.4330653390849,0.17899679454449,0.244684164936147,0.927342529403854,0.150344958032477
386,2.43452204950231,2.47304762357022,2.20838796640208,-4.91800799589232,4.89844969261695,3.36386544510944,0.183382296477231,0.255330797611416,0.873425557636437,0.0322467091551888
387,2.45757257742737,2.45336645675186,2.22782110117706,-4.92498916384015,4.90640498972226,3.31576087995454,0.184028519601354,0.249154254109937,0.899788239524399,0.0527469676285066
388,2.42991400576875,2.45656750993241,2.20905628194522,-4.90504083142684,4.88369346727282,3.32785209219147,0.18484451717234,0.233823527426761,0.919419608901549,0.0511591050667714
389,2.44386249760591,2.45341650816305,2.18749655021595,-4.9119068242615,4.88834458823919,3.33314374487881,0.178462271228494,0.246039660208646,0.86957336823145,0.0797229861147421
390,2.44167372142319,2.46107679070322,2.21859051817107,-4.93950906651928,4.9207793385674,3.37758172935666,0.190028510588012,0.247602342394452,0.880690330441792,0.103334076964212
391,2.42142703843901,2.4629301023109,2.19206632349787,-4.91439545009574,4.89247251826586,3.3394934916666,0.180712821605721,0.251369024824747,0.934548427934761,0.0864138260493479
392,2.43705262189481,2.46530230098949,2.22557067740081,-4.89754306608415,4.87339477010437,3.30484386818045,0.200003963820448,0.26693357831629,0.896996111349965,0.0962207512699985
393,2.43000282099717,2.43601105258674,2.18404320632435,-4.90411745733198,4.87661679937842,3.34289903330519,0.177049478285299,0.23622569919963,0.921472349341058,0.0899265650426192
394,2.44087763612732,2.46279085559659,2.21502907296283,-4.92957911956888,4.91236269297858,3.33418266509359,0.175361745193074,0.226555719614797,0.916801794803697,0.0723285799271594
395,2.42089550192115,2.47531354777143,2.20839016032024,-4.91325005577643,4.89395576334997,3.30341880923983,0.181011286456411,0.238699952787215,1.02401319490872,0.106397935020301
396,2.45860578088433,2.468786474059,2.19383313749276,-4.92969737859186,4.91643073912954,3.4148646001965,0.167323839385935,0.234997519704323,0.952293963375042,0.077588281595942
397,2.44128201576719,2.46570328364114,2.22144357344581,-4.94255934249837,4.93395493823407,3.36099420428629,0.181616760700856,0.241388580202181,0.943326276858121,0.163298660483427
398,2.44331824184985,2.44010207208694,2.19378400823696,-4.90737714791744,4.88509260101102,3.35477235345088,0.188031652539269,0.257763140711334,0.853750675822985,0.087036606151889
399,2.44289932463497,2.46838272379459,2.20725486869265,-4.94125786585657,4.93570792716373,3.41587967264484,0.175354349744085,0.221887981875567,0.888681520063053,0.158843116310297
400,2.43059939964755,2.46344293590011,2.21468546501336,-4.91082610407657,4.88688437398247,3.34342693979195,0.173277051930085,0.236208827299048,0.917708557730883,0.0420921103093806
401,2.43370922517115,2.4776389993096,2.21624873034287,-4.91552158109243,4.88724266723021,3.36378729410564,0.196671113519537,0.2603486940381,0.880065672110122,0.0837326403741052
402,2.42882598674696,2.43862563815245,2.21103881534569,-4.91116752445379,4.88846898131322,3.36122346537732,0.184039337595449,0.248905826059925,0.909344385873762,0.0723226075273567
403,2.45395870592919,2.46496916405167,2.2102392552786,-4.94203908046126,4.92562614483553,3.3226383740156,0.187589131637681,0.251149744439646,0.901536541124353,0.142779387907433
404,2.45429225939849,2.46181723509678,2.21111380834371,-4.9272136260326,4.90942467512437,3.36157913958032,0.184110943040849,0.24469707899513,0.902695215665835,0.0518089291084479
