sim,Rate,Rate_1,Rate_2,density,recip,simXTransTrip,se_density,se_recip,se_simXTransTrip,maxConv
346,2.46307678569129,2.49924825967916,2.21079383906132,-4.94497858763384,4.92559347497534,10.151464115661,0.162660237102393,0.214032512370759,3.92100564910768,0.199041765971479
347,2.446456290233,2.45857256114769,2.20197507343865,-4.93096348280556,4.90481492252975,10.0621917501711,0.182169979620069,0.238669569644231,4.05685036894997,0.0389253160151768
348,2.44023883032343,2.45062397979105,2.22101063687451,-4.90315407627625,4.87124524280319,10.1623557089848,0.173226909599876,0.232147838403934,3.85264446171743,0.0650213462074931
349,2.4643564733581,2.45049263661484,2.21270089649733,-4.93379524013956,4.90921275857516,10.0179146507827,0.165908532303606,0.232649277906912,3.8890827308639,0.143390295046059
350,2.43393560051991,2.45890667619041,2.18929913517732,-4.90364015825168,4.87567309372489,10.1187187446796,0.16797575859902,0.229465018678052,3.3291448992622,0.109933519242604
351,2.4479741707133,2.46954909649286,2.19909655857712,-4.9310226590194,4.90924521070254,10.3074952797417,0.174302340627109,0.223622835054558,4.15129155677267,0.101989956729823
352,2.42875581827251,2.47405388990839,2.20700488361848,-4.9254969679441,4.90523983443577,10.2645190376426,0.177454285209364,0.243083667959323,3.39408314041432,0.0809789008082027
353,2.45610066994353,2.46947488327017,2.21337841699004,-4.92554695206754,4.90074775229987,10.1388425843711,0.18087111214354,0.248683281803436,3.45515129464633,0.106656653936331
354,2.43633868487424,2.45040577294854,2.20687128657512,-4.91183534753147,4.88437266091546,10.1222788607135,0.18510430142184,0.238249312246203,3.73620891087926,0.099631341999052
355,2.44933897016496,2.48216280074366,2.23919278246354,-4.92481565952522,4.9021018263309,10.0122715337873,0.182927293477722,0.251761264151813,4.03827413813902,0.087199208008706
356,2.43995590192782,2.46453338537573,2.22098986933535,-4.91828319005791,4.89651911428444,10.271175207314,0.176412952308291,0.225224725757826,3.64598900593923,0.0942313142589985
357,2.44303870818307,2.46334413796159,2.22596282270064,-4.91236852972179,4.88109669425774,10.226376881,0.178898741715345,0.227765939419107,3.66161873105691,0.0590992819731526
358,2.42971682288282,2.4543268363114,2.21347163276845,-4.91033997264287,4.8764894188174,10.2049027157343,0.189300780312013,0.249193262116677,3.73060875300133,0.092810087651431
359,2.44809007542841,2.45502466427392,2.2043380283662,-4.91217928160815,4.8843700902086,10.1766470610393,0.170978235959361,0.230225908988428,3.53826970954078,0.0542980140911329
360,2.43875124098213,2.45894679309957,2.20208259900534,-4.92110070582399,4.90045379563807,9.79313424846114,0.188122802003566,0.251784800019599,3.57837885590193,0.0503868857952818
361,2.44313835471336,2.45666512972571,2.20002479146324,-4.91328111320686,4.88901543740442,10.0954834793571,0.183578607720624,0.244912032924266,3.51931766255913,0.0548910400428491
362,2.44335788418958,2.45891820695964,2.21351787698222,-4.91469155121305,4.88478746916527,10.2057067939496,0.195246738919,0.263077530494041,3.76381760299899,0.0562545733812679
363,2.41638341865946,2.45366063126644,2.21537273578204,-4.91321580949757,4.88309598986865,10.1329704083711,0.179508892573154,0.238974439446024,3.52290981106847,0.01927876747247
364,2.44894385692319,2.45861655272257,2.20486669550254,-4.92505799219146,4.90815380065337,10.2131799695801,0.179593580858072,0.237268087993168,3.77847381883463,0.124861750500278
365,2.44452701435505,2.46765794953601,2.20668968850148,-4.91754063291732,4.89663246313876,10.0913733793806,0.18195257162709,0.256193852049377,3.8150591271424,0.0407249012834977
366,2.43837552728491,2.44020171938964,2.21253217332299,-4.91082528126691,4.88710500660251,10.0237385198251,0.176859971073271,0.232167279280373,3.41385195148741,0.0472195245737745
367,2.41690067564672,2.43189639607928,2.20273907566304,-4.89629638612609,4.8604632281056,10.2230319068218,0.181593318934458,0.239444259004759,3.56822855795928,0.150138655464473
368,2.47331942906318,2.45292539134933,2.23192719447645,-4.94423312933207,4.92067123835085,10.0627423956209,0.183798829064244,0.253761652278565,3.74827462929188,0.149813699579191
369,2.42290856767765,2.44883208188136,2.20223813886146,-4.89693835186794,4.86766616510168,10.0928909492232,0.174094652155578,0.234240852231337,4.17510601038793,0.138239397889388
370,2.44643706161193,2.43958286003514,2.19131642319097,-4.90654751996383,4.87675825745042,10.1020239286776,0.172749949847464,0.230689558956423,3.76403721336176,0.104223185889613
371,2.44199545430959,2.47211940331588,2.21242291149089,-4.92278207575071,4.90036708896556,10.2498312307908,0.179125935917643,0.249480430980844,3.66790015360345,0.0885254053908075
372,2.41300402268181,2.45546910074423,2.1973061649737202,-4.92010777347268,4.89290979515977,10.3579632699537,0.170079656395994,0.224708911982709,3.46175767555348,0.0691485027471609
373,2.43961435381985,2.46136278299432,2.21365906500452,-4.90733590865756,4.87701482141028,10.2436484478124,0.178591139821903,0.251204172182761,3.70848939816619,0.093759587025138
374,2.4455839447961,2.46153061318255,2.19873101157308,-4.90480445306584,4.87673353710205,10.0069244957203,0.200040330337515,0.261539096571265,3.73925066030007,0.0507477912759322
375,2.44159382174886,2.45257567826918,2.19833801662361,-4.91590798973338,4.88441405108495,10.1925760480967,0.180377110652486,0.241411768412723,3.79766452162258,0.0776083362553499
376,2.45305617001158,2.44338683780531,2.17858757189146,-4.91687632655642,4.88719025356253,10.0005025580728,0.172408679179047,0.219177601736666,3.65906486537466,0.0456031549672421
377,2.43165992448949,2.4627692724152,2.21080828270616,-4.9045601191684,4.87586572281262,10.1200528868736,0.188146080599565,0.254289598454261,3.73566905249709,0.0884878964265164
378,2.43427111461786,2.42547837254539,2.20012472751568,-4.89567742282263,4.86251242772528,9.87492416618729,0.181830370752282,0.248675673069264,4.0438505580963,0.15597187372446
379,2.4308590927192,2.45796434150864,2.20576419380251,-4.92607969079671,4.90451577677891,10.3393648852167,0.173625781471211,0.237502854675993,3.70764185420029,0.076543060055128
380,2.44909977614021,2.47300142566413,2.19280117755389,-4.91490448375078,4.88484096839284,10.148567304964,0.182530402121964,0.241961454055474,4.1780874901631,0.0198741944431943
381,2.43763419381813,2.45441671807678,2.21487865155708,-4.91751851317816,4.8922582228557,10.1656032019876,0.169160291921604,0.241600617349218,3.66406263096951,0.0605211986122607
382,2.44381894698921,2.46013416938512,2.22619595525408,-4.90749608939379,4.87522210488108,9.84170495067261,0.16639368111879,0.225980768402235,3.96492583380918,0.110080882162779
